Date,Open,High,Low,Close,Adj Close,Volume
2020-07-06,0.550000,0.550000,0.530000,0.550000,0.550000,427200
2020-07-07,0.550000,0.560000,0.520000,0.520000,0.520000,628600
2020-07-08,0.530000,0.530000,0.500000,0.520000,0.520000,726100
2020-07-09,0.530000,0.530000,0.490000,0.520000,0.520000,894300
2020-07-10,0.510000,0.600000,0.510000,0.580000,0.580000,5369400
2020-07-13,0.600000,0.680000,0.580000,0.610000,0.610000,13150600
2020-07-14,0.620000,0.650000,0.580000,0.610000,0.610000,3465000
2020-07-15,0.620000,0.680000,0.600000,0.660000,0.660000,7217300
2020-07-16,0.680000,0.830000,0.660000,0.750000,0.750000,17771600
2020-07-17,0.770000,0.810000,0.720000,0.770000,0.770000,8731000
2020-07-20,0.830000,1.130000,0.800000,1.070000,1.070000,30258500
2020-07-21,1.160000,1.230000,0.880000,0.940000,0.940000,28226300
2020-07-22,0.970000,1.050000,0.820000,1.040000,1.040000,19111800
2020-07-23,1.070000,1.150000,1.000000,1.020000,1.020000,9703500
2020-07-24,1.010000,1.070000,0.900000,1.050000,1.050000,7756000
2020-07-27,1.120000,1.130000,1.020000,1.050000,1.050000,4322800
2020-07-28,1.040000,1.200000,0.970000,1.110000,1.110000,14463300
2020-07-29,1.130000,1.510000,1.130000,1.450000,1.450000,48814100
2020-07-30,1.320000,1.410000,1.200000,1.230000,1.230000,11694900
2020-07-31,1.190000,1.270000,1.150000,1.180000,1.180000,4857900
2020-08-03,1.220000,1.310000,1.180000,1.260000,1.260000,7153900
2020-08-04,1.250000,1.300000,1.170000,1.270000,1.270000,3136200
2020-08-05,1.250000,1.300000,1.210000,1.260000,1.260000,5633000
2020-08-06,1.260000,1.270000,1.190000,1.230000,1.230000,3474700
2020-08-07,1.210000,1.280000,1.150000,1.180000,1.180000,5151200
2020-08-10,1.190000,1.260000,1.180000,1.230000,1.230000,5132600
2020-08-11,1.200000,1.220000,1.110000,1.140000,1.140000,3780400
2020-08-12,1.100000,1.110000,0.880000,0.960000,0.960000,10605200
2020-08-13,0.970000,1.020000,0.920000,1.020000,1.020000,4124000
2020-08-14,1.130000,1.140000,0.910000,0.950000,0.950000,13120000
2020-08-17,0.920000,0.950000,0.910000,0.940000,0.940000,3164900
2020-08-18,0.870000,1.030000,0.850000,0.980000,0.980000,7718000
2020-08-19,0.980000,0.990000,0.900000,0.920000,0.920000,2676500
2020-08-20,0.910000,0.930000,0.880000,0.900000,0.900000,2386100
2020-08-21,0.900000,0.980000,0.860000,0.890000,0.890000,5790400
2020-08-24,0.870000,0.890000,0.690000,0.730000,0.730000,9007200
2020-08-25,0.710000,0.800000,0.700000,0.740000,0.740000,5546700
2020-08-26,0.740000,0.750000,0.700000,0.710000,0.710000,2756200
2020-08-27,0.710000,0.710000,0.580000,0.620000,0.620000,6348700
2020-08-28,0.620000,0.670000,0.610000,0.650000,0.650000,1799000
2020-08-31,0.640000,0.680000,0.620000,0.660000,0.660000,1517100
2020-09-01,0.640000,0.650000,0.610000,0.630000,0.630000,1177900
2020-09-02,0.630000,0.630000,0.590000,0.600000,0.600000,1304000
2020-09-03,0.630000,0.650000,0.570000,0.650000,0.650000,2597200
2020-09-04,0.650000,0.780000,0.620000,0.770000,0.770000,6451900
2020-09-08,0.760000,0.760000,0.720000,0.740000,0.740000,2676100
2020-09-09,0.750000,0.850000,0.750000,0.770000,0.770000,5240200
2020-09-10,0.780000,0.800000,0.740000,0.770000,0.770000,1234700
2020-09-11,0.770000,0.780000,0.710000,0.730000,0.730000,1076600
2020-09-14,0.740000,0.800000,0.720000,0.780000,0.780000,2265600
2020-09-15,0.780000,0.800000,0.750000,0.790000,0.790000,1329300
2020-09-16,0.790000,0.840000,0.780000,0.810000,0.810000,2544800
2020-09-17,0.790000,0.800000,0.760000,0.790000,0.790000,1956900
2020-09-18,0.650000,0.740000,0.640000,0.720000,0.720000,14095600
2020-09-21,0.740000,0.800000,0.720000,0.780000,0.780000,4807100
2020-09-22,0.790000,0.840000,0.760000,0.770000,0.770000,2234300
2020-09-23,0.790000,0.790000,0.720000,0.740000,0.740000,2305000
2020-09-24,0.730000,0.740000,0.690000,0.710000,0.710000,2386500
2020-09-25,0.710000,0.770000,0.710000,0.720000,0.720000,2432100
2020-09-28,0.750000,0.850000,0.740000,0.780000,0.780000,6093000
2020-09-29,0.790000,0.820000,0.760000,0.800000,0.800000,2272300
2020-09-30,0.810000,0.820000,0.780000,0.780000,0.780000,1759100
2020-10-01,0.790000,0.800000,0.760000,0.770000,0.770000,1642700
2020-10-02,0.700000,0.770000,0.700000,0.730000,0.730000,2684500
2020-10-05,0.740000,0.770000,0.730000,0.730000,0.730000,1716800
2020-10-06,0.740000,0.780000,0.730000,0.770000,0.770000,3811300
2020-10-07,0.790000,0.850000,0.770000,0.830000,0.830000,4516200
2020-10-08,0.860000,0.920000,0.840000,0.890000,0.890000,8150600
2020-10-09,0.940000,1.030000,0.860000,0.980000,0.980000,15667600
2020-10-12,1.010000,1.060000,0.970000,1.010000,1.010000,12197900
2020-10-13,1.000000,1.000000,0.920000,0.970000,0.970000,4820500
2020-10-14,0.960000,0.960000,0.920000,0.940000,0.940000,2946600
2020-10-15,0.880000,0.960000,0.850000,0.910000,0.910000,4685600
2020-10-16,0.940000,0.940000,0.910000,0.920000,0.920000,1761700
2020-10-19,0.920000,0.940000,0.860000,0.870000,0.870000,3539700
2020-10-20,0.860000,0.860000,0.780000,0.810000,0.810000,4522000
2020-10-21,0.810000,0.860000,0.790000,0.860000,0.860000,2465500
2020-10-22,0.850000,0.860000,0.800000,0.810000,0.810000,1793000
2020-10-23,0.820000,0.820000,0.780000,0.790000,0.790000,1617200
2020-10-26,0.810000,0.810000,0.760000,0.800000,0.800000,3852500
2020-10-27,0.800000,0.800000,0.750000,0.760000,0.760000,1939200
2020-10-28,0.720000,0.740000,0.680000,0.710000,0.710000,3079300
2020-10-29,0.710000,0.790000,0.680000,0.730000,0.730000,2535900
2020-10-30,0.730000,0.730000,0.680000,0.710000,0.710000,3448600
2020-11-02,0.710000,0.730000,0.690000,0.710000,0.710000,1966400
2020-11-03,0.720000,0.750000,0.700000,0.740000,0.740000,2354400
2020-11-04,0.740000,0.770000,0.710000,0.730000,0.730000,1906000
2020-11-05,0.740000,0.740000,0.690000,0.700000,0.700000,4126300
2020-11-06,0.700000,0.740000,0.680000,0.720000,0.720000,5858100
2020-11-09,0.780000,0.780000,0.710000,0.720000,0.720000,5490600
2020-11-10,0.700000,0.710000,0.680000,0.690000,0.690000,3572900
2020-11-11,0.700000,0.730000,0.690000,0.720000,0.720000,3990900
2020-11-12,0.720000,0.740000,0.690000,0.720000,0.720000,6163400
2020-11-13,0.720000,0.720000,0.680000,0.680000,0.680000,10143200
2020-11-16,0.420000,0.470000,0.400000,0.400000,0.400000,29656700
2020-11-17,0.390000,0.430000,0.380000,0.410000,0.410000,6332100
2020-11-18,0.410000,0.410000,0.400000,0.400000,0.400000,3405900
2020-11-19,0.410000,0.420000,0.390000,0.410000,0.410000,5536300
2020-11-20,0.410000,0.410000,0.400000,0.410000,0.410000,3562300
2020-11-23,0.410000,0.410000,0.400000,0.410000,0.410000,4140400
2020-11-24,0.410000,0.410000,0.400000,0.410000,0.410000,4000700
2020-11-25,0.410000,0.460000,0.400000,0.430000,0.430000,10291800
2020-11-27,0.430000,0.440000,0.420000,0.440000,0.440000,1877900
2020-11-30,0.440000,0.440000,0.430000,0.430000,0.430000,2242200
2020-12-01,0.450000,0.540000,0.450000,0.530000,0.530000,17310800
2020-12-02,0.520000,0.520000,0.450000,0.490000,0.490000,7825700
2020-12-03,0.500000,0.500000,0.470000,0.470000,0.470000,3271800
2020-12-04,0.500000,0.500000,0.470000,0.480000,0.480000,2140800
2020-12-07,0.500000,0.510000,0.470000,0.480000,0.480000,2042400
2020-12-08,0.480000,0.520000,0.470000,0.500000,0.500000,4720900
2020-12-09,0.500000,0.500000,0.470000,0.490000,0.490000,2749500
2020-12-10,0.480000,0.570000,0.480000,0.550000,0.550000,5754200
2020-12-11,0.540000,0.550000,0.500000,0.520000,0.520000,5093200
2020-12-14,0.540000,0.540000,0.510000,0.520000,0.520000,1825300
2020-12-15,0.530000,0.540000,0.500000,0.510000,0.510000,2032100
2020-12-16,0.500000,0.510000,0.500000,0.500000,0.500000,1379200
2020-12-17,0.510000,0.530000,0.500000,0.520000,0.520000,1422400
2020-12-18,0.520000,0.520000,0.490000,0.490000,0.490000,1443500
2020-12-21,0.510000,0.510000,0.500000,0.500000,0.500000,1460300
2020-12-22,0.500000,0.500000,0.480000,0.490000,0.490000,2344300
2020-12-23,0.520000,0.600000,0.500000,0.520000,0.520000,12487400
2020-12-24,0.530000,0.530000,0.510000,0.520000,0.520000,2034000
2020-12-28,0.500000,0.530000,0.500000,0.520000,0.520000,2531700
2020-12-29,0.510000,0.510000,0.480000,0.500000,0.500000,1931000
2020-12-30,0.500000,0.500000,0.490000,0.500000,0.500000,1692300
2020-12-31,0.500000,0.510000,0.490000,0.490000,0.490000,2556500
2021-01-04,0.500000,0.560000,0.490000,0.540000,0.540000,7841400
2021-01-05,0.550000,0.630000,0.540000,0.620000,0.620000,15320700
2021-01-06,0.600000,0.770000,0.580000,0.660000,0.660000,23774200
2021-01-07,0.680000,0.750000,0.680000,0.700000,0.700000,12519300
2021-01-08,0.700000,0.720000,0.670000,0.700000,0.700000,5997300
2021-01-11,0.690000,0.740000,0.680000,0.710000,0.710000,6288700
2021-01-12,0.710000,0.790000,0.690000,0.730000,0.730000,12794400
2021-01-13,0.740000,0.800000,0.730000,0.750000,0.750000,9848400
2021-01-14,0.780000,0.840000,0.760000,0.810000,0.810000,12439700
2021-01-15,0.810000,0.840000,0.750000,0.780000,0.780000,8513500
2021-01-19,0.800000,0.840000,0.750000,0.810000,0.810000,7999900
2021-01-20,1.030000,1.660000,0.980000,1.430000,1.430000,277533100
2021-01-21,1.180000,1.290000,1.100000,1.270000,1.270000,84369500
2021-01-22,2.330000,2.340000,1.710000,1.790000,1.790000,205718200
